Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
13,K020,P.S. 20 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,05/08/2018,09/07/2018,06/21/2018,5670,7071,7071.00,DSF: 0000889054
13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY19 RESO A UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,15000,15000,0.00,DSF: 0000890743
13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY19 RESO A UPGRADES,Construction,PNS,PNS,PNS,PNS,220000,220000,0.00,DSF: 0000890743
13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY19 RESO A UPGRADES,Design,PNS,PNS,PNS,PNS,15000,15000,0.00,DSF: 0000890743
13,K020,P.S. 20 - BROOKLYN,SCA CIP RESOA,FY19 RESO A UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000890743
13,K020,P.S. 20 - BROOKLYN,SCA IEH,IEH PO18-BOILER ROOM FA ROOM & INCINERATOR ROOM,Construction,Complete,12/24/2018,IEH,01/13/2019,IEH,23181,0.00,DSF: 0000055465
16,K021,K140 SPED - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,02/04/2019,DIIR,,45000,45000,44651.00,DSF: 0000890048
16,K021,P.S. 21 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,124062,124062,0.00,DSF: 0000823448
16,K021,P.S. 21 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/29/2018,DIIR,10/04/2018,39700,39700,39700.00,DSF: 0000867498
16,K021,P.S. 21 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,318000,300000,300000.00,DSF: 0000866675
16,K021,P.S. 21 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,264000,264000,0.00,DSF: 0000866675
16,K021,P.S. 21 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,18000,18000,0.00,DSF: 0000866675
16,K021,P.S. 21 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866675
16,K021,P.S. 21 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,225000,225000,0.00,DSF: 0000889679
16,K021,P.S. 21 - BROOKLYN,SCA IEH,"IEH PO18-STAIRCASE C&D 3RD FL LANDING,CLASSRM 105",Construction,In-Progress,03/19/2019,IEH,,IEH,500,0.00,DSF: 0000056869
17,K022,P.S. 705 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,10/24/2018,DIIR,12/17/2018,99247,99247,99247.00,DSF: 0000867432
17,K022,P.S. 705 - BROOKLYN,DOE- RESOA,FY18 RESO A SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,250000,0,0.00,DSF: 0000867774
17,K022,P.S. 705 - BROOKLYN,SCA CIP,HVAC,"CM, F&E",PNS,PNS,PNS,PNS,143261,143261,7381.00,DSF: 0000868772
17,K022,P.S. 705 - BROOKLYN,SCA CIP,HVAC,Construction,PNS,PNS,PNS,PNS,2302405,2302405,10474.00,DSF: 0000868772
17,K022,P.S. 705 - BROOKLYN,SCA CIP,HVAC,Design,In-Progress,06/19/2018,12/19/2018,,122795,122795,52304.00,DSF: 0000868772
17,K022,P.S. 705 - BROOKLYN,SCA CIP,HVAC,Scope,Complete,03/29/2018,07/30/2018,06/04/2018,30699,29252,29252.00,DSF: 0000868772
14,K023,P.S. 23 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,225000,225000,0.00,DSF: 0000889680
14,K023,P.S. 23 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,151340,151340,0.00,DSF: 0000844345
14,K023,P.S. 23 - BROOKLYN,DOE- RESOA,FY19 RESO A AUDITORIUM UPGRADES,Construction,PNS,PNS,PNS,PNS,100000,0,0.00,DSF: 0000890734
14,K023,P.S. 23 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/07/2017,DOES,,DOES,,0.00,DSF: 0000866076
14,K023,P.S. 23 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,27000,27000,171.00,DSF: 0000890744
14,K023,P.S. 23 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,396000,396000,0.00,DSF: 0000890744
14,K023,P.S. 23 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Design,In-Progress,01/09/2019,05/24/2019,,27000,30165,5634.00,DSF: 0000890744
14,K023,P.S. 23 - BROOKLYN,SCA CIP RESOA,FY19 RESO A SUPPLEMENTAL COOLING,Scope,Complete,10/10/2018,12/10/2018,12/20/2018,0,11490,11490.00,DSF: 0000890744
14,K023,P.S. 23 - BROOKLYN,SCA IEH,"IEH PO18-RMS 218,222,224,230,232, WACH RMS 307,320",Construction,In-Progress,02/19/2019,IEH,,IEH,20280,0.00,DSF: 0000056489
14,K023,P.S. 23 - BROOKLYN,SCA IEH,"IEH PO18-RMS 114,212,207,206/208",Construction,Complete,01/22/2019,IEH,01/23/2019,IEH,0,0.00,DSF: 0000055945
14,K023,P.S. 23 - BROOKLYN,SCA IEH,"IEH PO18-RMS 102,103,104,112",Construction,In-Progress,01/16/2019,IEH,,IEH,9990,0.00,DSF: 0000055846
14,K023,P.S. 23 - BROOKLYN,SCA IEH,IEH PO18-2ND FL HALLWAY INCLUDING STAIRCASE LNDG,Construction,Complete,01/16/2019,IEH,01/23/2019,IEH,0,0.00,DSF: 0000055849
14,K023,P.S. 23 - BROOKLYN,SCA IEH,IEH PO18-RMS 226 & 228,Construction,Complete,10/15/2018,IEH,12/02/2018,IEH,52435,0.00,DSF: 0000054267
15,K024,P.S. 24 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,49621,49621,0.00,DSF: 0000823490
15,K024,P.S. 24 - BROOKLYN,DOE- RESOA,FY08 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,75000,0,0.00,DSF: 0000545188
15,K024,P.S. 24 - BROOKLYN,SCA CIP,PARAPETS/DOORS,"CM, F&E",PNS,PNS,PNS,PNS,362303,362303,2121.00,"DSF: 0000868795, 0000891548"
15,K024,P.S. 24 - BROOKLYN,SCA CIP,PARAPETS/DOORS,Construction,PNS,PNS,PNS,PNS,1563269,1563269,0.00,"DSF: 0000868795, 0000891548"
15,K024,P.S. 24 - BROOKLYN,SCA CIP,PARAPETS/DOORS,Design,In-Progress,01/30/2019,07/01/2019,,147604,147604,3266.00,"DSF: 0000868795, 0000891548"
15,K024,P.S. 24 - BROOKLYN,SCA CIP,PARAPETS/DOORS,Scope,Complete,10/16/2018,03/06/2019,01/22/2019,40256,4169,816.00,"DSF: 0000868795, 0000891548"
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,4040.00,DSF: 0000867346
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,440000,440000,2778.00,DSF: 0000867346
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,In-Progress,11/14/2018,04/03/2019,,30000,12483,4169.00,DSF: 0000867346
15,K024,P.S. 24 - BROOKLYN,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,Complete,01/16/2018,03/14/2018,02/28/2018,0,17517,17517.00,DSF: 0000867346
16,K025,I.S. 534 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,DIIT,,DIIT,137325,0.00,DSF: 0000776662
16,K025,I.S. 534 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,150000,150000,0.00,DSF: 0000844379
16,K025,P.S. 25 - BROOKLYN,DOE - Skilled Trades,RELOCATION & EXTENSION OF GAS VENT LINES,Construction,Complete,07/02/2018,DOES,07/27/2018,DOES,124755,124755.00,DSF: 0000889351
16,K025,P.S. 25 - BROOKLYN,SCA CIP,PLAY YARD,"CM, F&E",PNS,PNS,PNS,PNS,131150,131150,6156.00,DSF: 0000889320
16,K025,P.S. 25 - BROOKLYN,SCA CIP,PLAY YARD,Construction,PNS,PNS,PNS,PNS,2107766,2107766,5212.00,DSF: 0000889320
16,K025,P.S. 25 - BROOKLYN,SCA CIP,PLAY YARD,Design,In-Progress,12/18/2018,05/06/2019,,112414,112414,125.00,DSF: 0000889320
16,K025,P.S. 25 - BROOKLYN,SCA CIP,PLAY YARD,Scope,Complete,07/05/2018,10/03/2018,12/18/2018,28104,51032,41132.00,DSF: 0000889320
16,K025,P.S. 25 - BROOKLYN,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,62000,62000,0.00,DSF: 0000889681
16,K026,P.S. 26 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000890021
16,K026,I.S. 681 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,51000,51000,0.00,DSF: 0000890133
16,K026,P.S. 26 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,01/16/2019,DIIR,,214000,214000,212390.00,DSF: 0000868047
16,K026,I.S. 681 - BROOKLYN,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/27/2018,DIIR,10/11/2018,297749,297749,297749.00,DSF: 0000866474
16,K026,P.S. 26 - BROOKLYN,DOE - Skilled Trades,TRASH COMPACTORS,Construction,In-Progress,07/09/2018,DOES,,DOES,182393,182393.00,DSF: 0000868834
16,K026,P.S. 26 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,"CM, F&E",PNS,PNS,PNS,PNS,35382,35382,414.00,DSF: 0000868178
16,K026,P.S. 26 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,PNS,PNS,PNS,PNS,152665,152665,0.00,DSF: 0000868178
16,K026,P.S. 26 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Design,Complete,10/25/2018,04/01/2019,03/06/2019,14415,8038,8038.00,DSF: 0000868178
16,K026,P.S. 26 - BROOKLYN,SCA CIP,ELECTRICAL WORK FOR A/C INITIATIVE,Scope,Complete,10/03/2018,02/07/2019,10/25/2018,3931,2072,2072.00,DSF: 0000868178
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,148263,139863,139863.00,DSF: 0000868044
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,328444,309844,309844.00,DSF: 0000867435
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,123200,123200,0.00,DSF: 0000868044
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,272800,272800,0.00,DSF: 0000867435
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,8400,8400,0.00,DSF: 0000868044
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,18600,18600,0.00,DSF: 0000867435
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000867435
16,K026,I.S. 681 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000868044
16,K026,P.S. 26 - BROOKLYN,SCA IEH,"IEH PO18-RMS 213,232,233,212,211,210,209,208,206",Construction,In-Progress,01/29/2019,IEH,,IEH,555986,0.00,DSF: 0000056047
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,70000,70000,0.00,DSF: 0000889815
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,136819,136819,0.00,DSF: 0000823201
15,K027,P.S. 27 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,50000,50000,0.00,DSF: 0000823488
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/25/2018,DIIR,10/10/2018,34738,34738,34738.00,DSF: 0000867780
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,DIIT - RESOA,FY18 RESO A TECHNOLOGY,Purch & Install,Complete,06/25/2018,DIIR,10/10/2018,99249,99249,99249.00,DSF: 0000867429
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,DOE - Skilled Trades,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,Complete,09/10/2018,DOES,11/30/2018,DOES,93540,93540.00,DSF: 0000866764
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM, F&E",PNS,PNS,PNS,PNS,135000,135000,277.00,DSF: 0000888997
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,PNS,PNS,PNS,PNS,582500,582500,1000.00,DSF: 0000888997
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,PNS,PNS,PNS,PNS,55000,55000,9928.00,DSF: 0000888997
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,In-Progress,10/18/2018,04/18/2019,,15000,15000,2482.00,DSF: 0000888997
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,2100,2100,53.00,DSF: 0000912263
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,121900,115000,115000.00,DSF: 0000866670
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,FY19 RESO A LIBRARY UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,28740,28740,235.00,DSF: 0000890803
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,101200,101200,0.00,DSF: 0000866670
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,30800,30800,0.00,DSF: 0000912263
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,FY19 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,421520,421520,0.00,DSF: 0000890803
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,FY19 RESO A LIBRARY UPGRADE,Design,In-Progress,01/30/2019,06/14/2019,,28740,29095,866.00,DSF: 0000890803
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,2100,2100,0.00,DSF: 0000912263
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,6900,6900,0.00,DSF: 0000866670
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000912263
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000866670
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA CIP RESOA,FY19 RESO A LIBRARY UPGRADE,Scope,Complete,11/01/2018,03/08/2019,01/29/2019,0,11441,216.00,DSF: 0000890803
15,K027,SUMMIT ACADEMY CHARTER SCHOOL,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000889820
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA Furniture & Equi,FY19 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,125000,125000,0.00,DSF: 0000890132
15,K027,RED HOOK NEIGHBORHOOD SCHOOL,SCA IEH,IEH PO18-BOILER RM BY SINK & STAIRS TO BATHROOM,Construction,Complete,11/29/2018,IEH,01/06/2019,IEH,71637,71262.00,DSF: 0000055325
16,K028,P.S. 28 - BROOKLYN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,In-Progress,06/24/2013,DIIP,,DIIP,100000,0.00,DSF: 0000776300
16,K028,P.S. 28 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,100000,100000,0.00,DSF: 0000845298
15,K029,P.S. 29 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34738,34738,0.00,DSF: 0000823430
15,K029,P.S. 29 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000889682
15,K029,P.S. 29 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,35000,35000,0.00,DSF: 0000890022
15,K029,P.S. 29 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,113144,113144,0.00,DSF: 0000822371
14,K031,P.S. 31 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,231080,218000,218000.00,DSF: 0000868050
14,K031,P.S. 31 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,191840,191840,0.00,DSF: 0000868050
14,K031,P.S. 31 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,13080,13080,0.00,DSF: 0000868050
14,K031,P.S. 31 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,0,0.00,DSF: 0000868050
15,K032,I.S. 442 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34737,34737,0.00,DSF: 0000823415
15,K032,P.S. 32 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,34736,34736,0.00,DSF: 0000823422
15,K032,P.S. 32 - BROOKLYN,DIIT - RESOA,FY19 RESO A TECHNOLOGY,Purch & Install,In-Progress,03/26/2019,DIIR,,35000,35000,34737.00,DSF: 0000890024
15,K032,I.S. 442 - BROOKLYN,DOE- RESOA,FY18 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,100000,0,0.00,DSF: 0000867375
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,"CM,Art,F&E",In-Progress,07/12/2017,07/10/2021,,11759308,6101686,2338322.00,DSF: 0000798185
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,Construction,In-Progress,07/12/2017,07/10/2021,,83505972,76294013,31450085.00,DSF: 0000798185
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,Design,Complete,08/20/2015,04/01/2016,03/10/2017,5954080,4383315,2931494.00,DSF: 0000798185
15,K032,P.S. 32 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,03/04/2015,08/18/2015,08/19/2015,1860650,1445523,1439038.00,DSF: 0000798185
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,"CM, F&E",PNS,PNS,PNS,PNS,788985,788985,7099.00,"DSF: 0000868912, 0000890591"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLAY YARD,"CM, F&E",PNS,PNS,PNS,PNS,74917,74917,1301.00,DSF: 0000889321
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLAY YARD,Construction,PNS,PNS,PNS,PNS,404203,404203,4241.00,DSF: 0000889321
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Construction,PNS,PNS,PNS,PNS,12680117,12680117,12638.00,"DSF: 0000868912, 0000890591"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLAY YARD,Design,PNS,PNS,PNS,PNS,31361,31361,6372.00,DSF: 0000889321
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Design,In-Progress,12/06/2018,05/09/2019,,676273,676273,137614.00,"DSF: 0000868912, 0000890591"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLANYC BOILER CONVERSION/PLANYC CLIMATE CONTROL,Scope,Complete,09/21/2018,02/27/2019,11/20/2018,169068,34403,34403.00,"DSF: 0000868912, 0000890591"
14,K033,SUCCESS ACADEMY CHARTER SCHOOL,SCA CIP,PLAY YARD,Scope,Complete,07/16/2018,10/15/2018,10/19/2018,6969,11997,11997.00,DSF: 0000889321
14,K033,K368 SPED - BROOKLYN,SCA IEH,"IEH PO18-HALLWAY WALL OUTSIDE OF CAFETERIA,BATHRM",Construction,Complete,10/04/2018,IEH,10/07/2018,IEH,16748,8798.00,DSF: 0000054145
14,K033,K368 SPED - BROOKLYN,SCA IEH,IEH PO18-TOILET OF RM 303,Construction,Complete,10/19/2018,IEH,10/22/2018,IEH,0,0.00,DSF: 0000054385
14,K033,K368 SPED - BROOKLYN,SCA IEH,"IEH PO18-RMS 408A,B2 A & B,119",Construction,In-Progress,12/13/2018,IEH,,IEH,57897,0.00,DSF: 0000055349
16,K035,I.S. 35 - BROOKLYN,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYSTEM,Purch & Install,Complete,07/01/2018,DIIP,11/15/2018,DIIP,268006,261513.00,DSF: 0000889210
16,K035,I.S. 35 - BROOKLYN,DIIT - RESOA,FY16 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,103220,103220,0.00,DSF: 0000822624
16,K035,BKLYN BROWNSTONE SCL - K,DIIT - RESOA,FY19 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,62000,62000,0.00,DSF: 0000889809
16,K035,I.S. 35 - BROOKLYN,Fast Track Projects,INTERIOR SPACES,Construction,In-Progress,08/06/2018,FTK,,FTK,111920,104459.00,DSF: 0000889387
16,K035,I.S. 35 - BROOKLYN,Fast Track Projects,FY18 RESO A CAFETERIA / MULTIPURPOSE ROOM UPGRADE,Construction,PNS,FTK,FTK,FTK,FTK,177,0.00,DSF: 0000867278
16,K035,I.S. 35 - BROOKLYN,Fast Track Projects,FY18 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,06/13/2018,FTK,,FTK,96164,78702.00,DSF: 0000867299
16,K035,I.S. 35 - BROOKLYN,Fast Track Projects,FY18 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,01/04/2019,FTK,,FTK,78750,0.00,DSF: 0000867310
16,K035,I.S. 35 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM, F&E",In-Progress,07/17/2017,01/07/2019,,579250,714198,699044.00,DSF: 0000822095
16,K035,I.S. 35 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,07/17/2017,01/07/2019,,9309375,9588136,7192516.00,DSF: 0000822095
16,K035,I.S. 35 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,05/02/2016,10/18/2016,04/19/2017,496500,628211,456400.00,DSF: 0000822095
16,K035,I.S. 35 - BROOKLYN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,06/17/2015,11/02/2015,04/29/2016,124125,121121,121050.00,DSF: 0000822095
16,K035,I.S. 35 - BROOKLYN,SCA IEH,"IEH PO18-RMS 325,326,201",Construction,Complete,11/13/2018,IEH,12/15/2018,IEH,77526,0.00,DSF: 0000054870
16,K035,I.S. 35 - BROOKLYN,SCA IEH,IEH PO18-3 ABANDONED BOILERS & RELATED PIPING,Construction,Complete,10/10/2018,IEH,02/23/2019,IEH,157948,0.00,DSF: 0000054165
15,K038,P.S. 38 - BROOKLYN,SCA CIP,ROOFS/EXTERIOR MASONRY,"CM, F&E",PNS,PNS,PNS,PNS,187485,187485,7882.00,"DSF: 0000868968, 0000868969"
15,K038,P.S. 38 - BROOKLYN,SCA CIP,ROOFS/EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,1671913,1671913,4566.00,"DSF: 0000868968, 0000868969"
15,K038,P.S. 38 - BROOKLYN,SCA CIP,ROOFS/EXTERIOR MASONRY,Design,In-Progress,03/26/2019,08/23/2019,,109394,109394,7539.00,"DSF: 0000868968, 0000868969"
15,K038,P.S. 38 - BROOKLYN,SCA CIP,ROOFS/EXTERIOR MASONRY,Scope,Complete,10/10/2018,02/28/2019,03/26/2019,28405,79679,23473.00,"DSF: 0000868968, 0000868969"
15,K038,P.S. 38 - BROOKLYN,SCA IEH,IEH PO18-MAKE UP TANK,Construction,Complete,10/24/2018,IEH,11/04/2018,IEH,16011,16011.00,DSF: 0000054465
